,Healthy vs Energy Sufficient,Healthy vs Nutrient Adequate
count,157.0,157.0
mean,4.373060747373782,1.4605135635899393
std,1.7219681211113058,0.20518721683179308
min,1.8348623853211008,1.0246085011185684
25%,3.1370967741935485,1.3418181818181818
50%,3.8452380952380953,1.4378698224852073
75%,5.161904761904761,1.5674418604651164
max,12.34375,2.435185185185185
